,Class 0: Variance,Class 0: Mean,Class 1: Variance,Class 1: Mean
CreditLine,4547742.449956314,1985.0766565172096,5509117.996367321,2378.1682957786056
Classification,49.32886476924193,6.128613114388018,43.20871651242117,6.160051075984704
Department,26.672276321686265,1.6045610948467142,26.081854844642987,1.4389356204974522
DateAcquired,37549060564.129555,-52278.60011046456,17330885144.609814,-18164.468744297537
Circumference (cm),24.972121726371665,0.002283471641393972,25.075893707475203,0.00391470437344436
Depth (cm),64.04333070837488,0.5005815585702628,514.7440159052385,2.3124266698167957
Diameter (cm),27.12282042415609,0.06350962779138399,65.97456690403568,0.34996866228566725
Height (cm),629.8783159134113,24.376140159105677,3260.916962294643,37.87037458891911
Length (cm),30.438174695765028,0.07710133411504168,1007.5814698675199,0.7128892105241843
Weight (kg),24.83454426212414,9.392180491874585e-06,488243.52872747584,4.304071454663515
Width (cm),1197.5764102322255,24.439524089191764,5783.784404585167,38.19528929154958
Seat Height (cm),24.834540001963386,0.0,24.834540001963386,0.0
Duration (sec.),511128.48766090925,27.915567018475006,465257391.29458874,136.5095366735194
aquatint,24.87254449369919,0.039570697789315594,24.87953582745784,0.04722629691862095
watercolor,24.840435186359816,0.0059305700373869855,24.86371938359021,0.03008480646227216
pigmented,24.843195114079993,0.008731394823902304,24.840445532088875,0.005940823938840382
canvas,24.83549303681646,0.0009539456521569584,24.85543166621024,0.021347662321862682
linoleum cut,24.84411149115572,0.009665044205168088,24.843235588032673,0.008772545434888881
silkscreen,24.836402971406212,0.0018664549022936886,24.839748638679946,0.005236172489025646
photogravure,24.853973503077693,0.019826633555167523,24.84643828642388,0.012043336526750582
offset,24.87543725526861,0.04272316530760153,24.863078633959873,0.02940326529727082
letterpress,24.84846382001078,0.014123432589673449,24.86690153756726,0.0334829648908448
silent,24.8373116500409,0.0027794406870990615,24.839839979241635,0.005328397960819696
platinum print,24.83722928300214,0.0026966208508802762,24.83874102496111,0.0042188394074822964
portfolio,24.86032113663835,0.02648257986173801,24.909587573125624,0.08172746763812942
screenprint,24.856355402448326,0.02231370316788049,24.87360107665369,0.04071947440643526
chromogenic,24.853176473689178,0.018997523338105504,24.85360266696631,0.01944061143956767
black,24.934386297982496,0.11250506997095766,24.845885061018596,0.011476830179810405
lithograph,24.954000512584717,0.13869855896261793,24.98355816148948,0.1822245006798393
drypoint,24.861635782545118,0.027872686852813095,24.880246877393315,0.048012095817111335
wood,24.886402661245295,0.0548742830844182,24.892399930391477,0.061662534934510495
board,24.844679352962924,0.010244448357310055,24.857815743708034,0.02384456408640752
pencil,24.883286937936347,0.0513886856209547,24.917520787646485,0.09132025966398648
bronze,24.834643718030964,0.00010372704951360473,24.837938079630405,0.003409731658261027
ink,24.875587446920765,0.04288685639681663,24.904180229438662,0.07531232127014263
albumen,24.89071814647288,0.059748426976398324,24.86824834646406,0.03492833483369717
gouache,24.84021065101224,0.0057031835438553806,24.85733037273667,0.023335225254248262
gelatin,24.956166986212235,0.14171032974802908,24.967082679519006,0.1572805236973188
poster,24.850012074784022,0.015719259889843237,24.835832811422005,0.0012944876019534686
illustrated book,24.868745694256535,0.03546337726753937,24.906314186453738,0.07783221123727573
colored pencil,24.845856331015,0.011447404418614027,24.855918492301573,0.021856304210200312
video,24.841827675078964,0.007341598389939526,24.85945249454383,0.025566176901620274
tracing paper,24.85994643180676,0.026087858198296166,24.845354259178336,0.010933809568442908
paper,24.9132627908615,0.08614567664347787,24.98223080407376,0.1801429098157162
silver print,24.995225420521944,0.2011478050445384,24.988962693413043,0.190845104791193
sound,24.841111901779687,0.006615675020900623,24.856128043058188,0.02207545259849809
oil,24.836051501611237,0.0015137949071847504,24.85998970680802,0.02613269802368806
cardboard,24.836836519389575,0.002301825348795611,24.83793783223207,0.003409528676138073
inkjet print,24.844517846279416,0.010079496915101413,24.84105041940657,0.006553383484567976
woodcut,24.86333674383913,0.02967762785184699,24.86872119560932,0.035436977848594425
matte,24.83743494700957,0.0029033758449519866,24.83827072218793,0.0037447565349738514
charcoal,24.836568247181493,0.002032377186931103,24.844210971830496,0.009766370299880657
paint,24.839472054349283,0.004956674393360541,24.85806852634165,0.024109860058630295
photolithograph,24.842399399025325,0.00792216765843186,24.842019177390153,0.007536013741964779
color,24.959444892084118,0.14631255393934406,24.930184020049566,0.10711901470730116
dye transfer print,24.83702258960947,0.0024888135744664604,24.836731318732163,0.0021961504668505535
glass negative,24.83904073819504,0.004521204909580196,24.836316861518927,0.001780043376296045
ballpoint pen,24.836939363190258,0.00240519577174015,24.84553546113301,0.011119196849162377
color print,24.853016789431702,0.018831533937463785,24.85340270926572,0.019232615986552903
white,24.840702591405048,0.0062011198245064125,24.843621276985942,0.009165307945117225
engraving,24.874315054656893,0.04149724716268413,24.86206636231583,0.028329449241071527
etching,24.91149281811285,0.08401154946234728,24.912897471737153,0.08570378553498048
collotype,24.841295071785424,0.0068016220146823346,24.842326177691053,0.007847836320157578
TimeStarted,1156.240445931818,1950.2036682743412,1212.3793839450348,1958.7427650476832
TimeFinished,1139.120655383027,1950.6942439892173,1205.6837362381943,1958.945272231106
NumMales,25.217082268370973,0.8805677605562118,25.342060430995797,0.86174504778515
NumFemales,24.934860402648624,0.09983482953717772,25.015559445743985,0.1891123836477199
NumArtists,25.497797644256096,1.0922425658175214,25.47620373344978,1.1246890282808064
FirstArtistListed,206746574.51807475,8248.868568491816,224713405.0525588,9892.984809934043
