,Weights
CreditLine,7.922284926922993e-05
Classification,0.0003542490486088176
Department,1.342628003442378e-05
DateAcquired,1.552688469897205e-06
Circumference (cm),9.613314874175415e-07
Depth (cm),0.0007117399437393737
Diameter (cm),0.00015350310617445487
Height (cm),0.0077407802485321515
Length (cm),0.00033574192373194404
Weight (kg),0.0013149373071640585
Width (cm),0.007788735702003543
Seat Height (cm),0.0
Duration (sec.),2.2023989538991402e-05
NumMales,6.425694425572971e-05
NumFemales,4.40280718731516e-05
NumArtists,9.290679300576275e-05
FirstArtistListed,1.9350385221510796e-06
