,Weights
CreditLine,8.894826133864196e-05
Classification,-0.00039203096346861546
Department,-0.000664225236220298
DateAcquired,1.5299235544953297e-06
Circumference (cm),8.241428304913054e-06
Depth (cm),0.0021383400477010144
Diameter (cm),0.0014045141218698718
Height (cm),0.009687276427492005
Length (cm),0.0022080950197842547
Weight (kg),0.001972626567989196
Width (cm),0.006618384653409627
Seat Height (cm),0.0
Duration (sec.),6.734778819612182e-05
aquatint,3.30109946272736e-05
watercolor,8.829208302452007e-05
pigmented,-2.6771408682831722e-05
canvas,3.644394639680902e-05
linoleum cut,-2.182151930595237e-06
silkscreen,5.900533778592629e-06
photogravure,-2.559463483594853e-05
offset,-6.334685437456766e-05
letterpress,7.568337301753804e-05
silent,1.4752651598396966e-05
platinum print,8.714111729752569e-06
portfolio,0.00020483987285581116
screenprint,4.4119793414567264e-05
chromogenic,-2.1042731702893414e-05
black,-0.0003805803464713991
lithograph,0.00012205586892302085
drypoint,0.00010223691059334689
wood,3.9865039974184396e-05
board,3.4678092904829374e-05
pencil,0.00017407751422148714
bronze,9.937287562603568e-06
ink,8.721510770081086e-05
albumen,-3.986776018176226e-05
gouache,5.93412081501391e-05
gelatin,8.371625091422581e-05
poster,-5.8567131448013834e-05
illustrated book,0.00021716854150792154
colored pencil,4.123541697195684e-05
video,8.410053282896584e-05
tracing paper,-3.5687884434366577e-05
paper,0.00034817281147498275
silver print,4.078673166024244e-05
sound,6.955364115017824e-05
oil,5.540651033108239e-05
cardboard,1.2558489025610988e-06
inkjet print,-3.2011338369845376e-05
woodcut,3.9511650913573124e-05
matte,8.698138581064364e-06
charcoal,2.2004655325285402e-05
paint,3.850399601593354e-05
photolithograph,-2.4185747379109295e-06
color,-0.00018035047964390025
dye transfer print,-5.920534807785448e-07
glass negative,-7.4142226282651175e-06
ballpoint pen,2.865997625441765e-05
color print,-2.1043444588338127e-05
white,1.711352900266376e-05
engraving,-2.412124400713013e-05
etching,2.968459359137029e-05
collotype,-1.7461426993062423e-06
TimeStarted,0.0005152310780875222
TimeFinished,-0.000545787176372862
NumMales,-0.00010097622770773426
NumFemales,0.00031304231191278935
NumArtists,6.771367140646324e-05
FirstArtistListed,2.1529066624197535e-06
